Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Morneau Shepell Inc.,MSI,2021,1,6,31.18,Industrials,Staffing & Employment Services,2140000000.0000002,46.06,4.21,3.19,0.0253,1.1642000000000001,143.30576416658536
Morneau Shepell Inc.,MSI,2021,1,7,31.3,Industrials,Staffing & Employment Services,2140000000.0000002,46.23,4.21,3.2,0.025,1.1642000000000001,144.3278048780488
Morneau Shepell Inc.,MSI,2021,1,8,31.41,Industrials,Staffing & Employment Services,2150000000.0,46.4,4.25,3.21,0.024900000000000002,1.1642000000000001,145.32539759976584
Morneau Shepell Inc.,MSI,2021,1,11,32.0,Industrials,Staffing & Employment Services,2190000000.0,47.27,4.25,3.27,0.0248,1.1642000000000001,150.8322599531616
Morneau Shepell Inc.,MSI,2021,1,12,32.0,Industrials,Staffing & Employment Services,2190000000.0,47.27,4.25,3.27,0.024399999999999998,1.1642000000000001,150.89115579851622
Morneau Shepell Inc.,MSI,2021,1,13,31.66,Industrials,Staffing & Employment Services,2170000000.0,46.77,4.25,3.24,0.024399999999999998,1.1642000000000001,147.9254197579071
Morneau Shepell Inc.,MSI,2021,1,14,31.69,Industrials,Staffing & Employment Services,2170000000.0,46.81,4.25,3.24,0.0246,1.1642000000000001,148.0230333788796
Morneau Shepell Inc.,MSI,2021,1,15,31.34,Industrials,Staffing & Employment Services,2150000000.0,46.29,4.25,3.2,0.0246,1.1642000000000001,144.57154011321492
Morneau Shepell Inc.,MSI,2021,1,18,31.08,Industrials,Staffing & Employment Services,2130000000.0,45.91,4.25,3.18,0.024900000000000002,1.1642000000000001,142.44687286564545
Morneau Shepell Inc.,MSI,2021,1,19,31.0,Industrials,Staffing & Employment Services,2120000000.0,45.79,4.25,3.17,0.025099999999999997,1.1642000000000001,141.60013657204178
Morneau Shepell Inc.,MSI,2021,1,20,30.96,Industrials,Staffing & Employment Services,2120000000.0,45.73,4.25,3.16,0.0252,1.1642000000000001,140.95474053843154
Morneau Shepell Inc.,MSI,2021,1,21,31.24,Industrials,Staffing & Employment Services,2140000000.0000002,46.14,4.2,3.19,0.0252,1.1642000000000001,143.56866952789701
Morneau Shepell Inc.,MSI,2021,1,22,31.03,Industrials,Staffing & Employment Services,2130000000.0,45.83,4.2,3.17,0.025,1.1642000000000001,141.73765853658537
