Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
National Bank of Canada,NA,2021,1,6,72.39,Financial Services,Banks—Diversified,24320000000,12.7,4.23,1.75,0.0399,0.4982,21.37224733
National Bank of Canada,NA,2021,1,7,72.59,Financial Services,Banks—Diversified,24390000000,12.74,4.23,1.75,0.0392,0.4982,21.45400308
National Bank of Canada,NA,2021,1,8,73.1,Financial Services,Banks—Diversified,24560000000,12.82,4.28,1.76,0.0392,0.4982,21.71208622
National Bank of Canada,NA,2021,1,11,73.06,Financial Services,Banks—Diversified,24550000000,12.82,4.28,1.76,0.0389,0.4982,21.71835595
National Bank of Canada,NA,2021,1,12,73.71,Financial Services,Banks—Diversified,24770000000,12.93,4.28,1.78,0.0389,0.4982,22.15362403
National Bank of Canada,NA,2021,1,13,73.59,Financial Services,Banks—Diversified,24730000000,12.91,4.28,1.78,0.0385,0.4982,22.12787675
National Bank of Canada,NA,2021,1,14,73.18,Financial Services,Banks—Diversified,24590000000,12.84,4.28,1.77,0.0386,0.4982,21.88214905
National Bank of Canada,NA,2021,1,15,73.22,Financial Services,Banks—Diversified,24600000000,12.85,4.32,1.77,0.0386,0.4982,21.89919122
National Bank of Canada,NA,2021,1,18,73.29,Financial Services,Banks—Diversified,24600000000,12.86,4.32,1.77,0.0388,0.4982,21.91201386
National Bank of Canada,NA,2021,1,19,73.37,Financial Services,Banks—Diversified,24650000000,12.87,4.32,1.77,0.0388,0.4982,21.92905275
National Bank of Canada,NA,2021,1,20,73.51,Financial Services,Banks—Diversified,24700000000,12.9,4.32,1.77,0.0387,0.4982,21.98228555
National Bank of Canada,NA,2021,1,21,73.71,Financial Services,Banks—Diversified,24770000000,12.93,4.32,1.78,0.0387,0.4982,22.15788967
National Bank of Canada,NA,2021,1,22,73.55,Financial Services,Banks—Diversified,24710000000,12.9,4.32,1.77,0.0385,0.4982,21.98651902
National Bank of Canada,NA,2021,1,25,73.51,Financial Services,Banks—Diversified,24700000000,12.9,4.32,1.77,0.0386,0.4982,21.98440208
National Bank of Canada,NA,2021,1,26,73.33,Financial Services,Banks—Diversified,24640000000,12.86,4.32,1.77,0.0386,0.4982,21.91623339
National Bank of Canada,NA,2021,1,27,73.64,Financial Services,Banks—Diversified,24740000000,12.92,4.32,1.78,0.0387,0.4982,22.14075286
National Bank of Canada,NA,2021,1,28,73.81,Financial Services,Banks—Diversified,24800000000,12.95,4.32,1.78,0.0386,0.4982,22.19430002
National Bank of Canada,NA,2021,1,29,71.87,Financial Services,Banks—Diversified,24150000000,12.61,4.32,1.73,0.0395,0.4982,20.98633959
National Bank of Canada,NA,2021,2,1,72.3,Financial Services,Banks—Diversified,24290000000,12.68,4.32,1.74,0.0395,0.4982,21.22481962
National Bank of Canada,NA,2021,2,2,72.83,Financial Services,Banks—Diversified,24470000000,12.78,4.32,1.76,0.0393,0.4982,21.64225921
National Bank of Canada,NA,2021,2,3,72.86,Financial Services,Banks—Diversified,24480000000,12.78,4.32,1.76,0.039,0.4982,21.64850818
National Bank of Canada,NA,2021,2,4,72.96,Financial Services,Banks—Diversified,24510000000.0,12.8,4.32,1.76,0.039,0.4982,21.68238691049086
